Overall: 
SDC: 13.560172638763424%
Benign: 43.751881963264076%
Crash: 42.6879453979725%
Breakdown: 
-- FI Index: 1024, SDC: 0.07692307692307693, Benign: 0.6153846153846154, Crash: 0.3076923076923077, Total FI: 13
-- FI Index: 1025, SDC: 0.3888888888888889, Benign: 0.6111111111111112, Crash: 0.0, Total FI: 18
-- FI Index: 1026, SDC: 0.4, Benign: 0.6, Crash: 0.0, Total FI: 10
-- FI Index: 1027, SDC: 0.7222222222222222, Benign: 0.2777777777777778, Crash: 0.0, Total FI: 18
-- FI Index: 1029, SDC: 0.3333333333333333, Benign: 0.0, Crash: 0.6666666666666666, Total FI: 3
-- FI Index: 1030, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 13
-- FI Index: 1281, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 521, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 3
-- FI Index: 522, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 599, SDC: 0.2, Benign: 0.8, Crash: 0.0, Total FI: 15
-- FI Index: 524, SDC: 0.0, Benign: 0.6666666666666666, Crash: 0.3333333333333333, Total FI: 3
-- FI Index: 1282, SDC: 0.2, Benign: 0.8, Crash: 0.0, Total FI: 5
-- FI Index: 1296, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 1
-- FI Index: 527, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 1283, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 1
-- FI Index: 533, SDC: 0.0, Benign: 0.1, Crash: 0.9, Total FI: 10
-- FI Index: 534, SDC: 0.0, Benign: 0.2727272727272727, Crash: 0.7272727272727273, Total FI: 11
-- FI Index: 857, SDC: 0.3953488372093023, Benign: 0.5116279069767442, Crash: 0.09302325581395349, Total FI: 43
-- FI Index: 536, SDC: 0.0, Benign: 0.6363636363636364, Crash: 0.36363636363636365, Total FI: 11
-- FI Index: 538, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 539, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 6
-- FI Index: 541, SDC: 0.0, Benign: 0.8333333333333334, Crash: 0.16666666666666666, Total FI: 12
-- FI Index: 542, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 8
-- FI Index: 544, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 5
-- FI Index: 547, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 549, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 1
-- FI Index: 551, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 2
-- FI Index: 44, SDC: 0.5714285714285714, Benign: 0.2857142857142857, Crash: 0.14285714285714285, Total FI: 7
-- FI Index: 557, SDC: 0.0, Benign: 0.5, Crash: 0.5, Total FI: 4
-- FI Index: 558, SDC: 0.0, Benign: 0.6, Crash: 0.4, Total FI: 10
-- FI Index: 605, SDC: 0.32894736842105265, Benign: 0.2236842105263158, Crash: 0.4473684210526316, Total FI: 76
-- FI Index: 48, SDC: 0.21428571428571427, Benign: 0.0, Crash: 0.7857142857142857, Total FI: 14
-- FI Index: 561, SDC: 0.0, Benign: 0.2, Crash: 0.8, Total FI: 10
-- FI Index: 562, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 8
-- FI Index: 51, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 11
-- FI Index: 564, SDC: 0.0, Benign: 0.8333333333333334, Crash: 0.16666666666666666, Total FI: 6
-- FI Index: 565, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 9
-- FI Index: 567, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 1108, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 2
-- FI Index: 59, SDC: 0.41818181818181815, Benign: 0.07272727272727272, Crash: 0.509090909090909, Total FI: 55
-- FI Index: 60, SDC: 0.71875, Benign: 0.28125, Crash: 0.0, Total FI: 64
-- FI Index: 515, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 2
-- FI Index: 62, SDC: 0.03389830508474576, Benign: 0.03389830508474576, Crash: 0.9322033898305084, Total FI: 59
-- FI Index: 63, SDC: 0.02857142857142857, Benign: 0.02857142857142857, Crash: 0.9428571428571428, Total FI: 70
-- FI Index: 64, SDC: 0.13559322033898305, Benign: 0.06779661016949153, Crash: 0.7966101694915254, Total FI: 59
-- FI Index: 65, SDC: 0.109375, Benign: 0.171875, Crash: 0.71875, Total FI: 64
-- FI Index: 66, SDC: 0.8507462686567164, Benign: 0.14925373134328357, Crash: 0.0, Total FI: 67
-- FI Index: 67, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 74
-- FI Index: 69, SDC: 0.14285714285714285, Benign: 0.0, Crash: 0.8571428571428571, Total FI: 14
-- FI Index: 70, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 23
-- FI Index: 609, SDC: 0.05, Benign: 0.15, Crash: 0.8, Total FI: 60
-- FI Index: 72, SDC: 0.17647058823529413, Benign: 0.058823529411764705, Crash: 0.7647058823529411, Total FI: 17
-- FI Index: 73, SDC: 0.625, Benign: 0.375, Crash: 0.0, Total FI: 16
-- FI Index: 74, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 19
-- FI Index: 1100, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 1
-- FI Index: 589, SDC: 0.0, Benign: 0.45454545454545453, Crash: 0.5454545454545454, Total FI: 11
-- FI Index: 78, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 5
-- FI Index: 79, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 4
-- FI Index: 592, SDC: 0.0, Benign: 0.6666666666666666, Crash: 0.3333333333333333, Total FI: 6
-- FI Index: 81, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 4
-- FI Index: 594, SDC: 0.0, Benign: 0.2, Crash: 0.8, Total FI: 10
-- FI Index: 83, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 7
-- FI Index: 84, SDC: 0.14285714285714285, Benign: 0.0, Crash: 0.8571428571428571, Total FI: 7
-- FI Index: 597, SDC: 0.0, Benign: 0.0, Crash: 1.0, Total FI: 6
-- FI Index: 86, SDC: 0.5714285714285714, Benign: 0.42857142857142855, Crash: 0.0, Total FI: 7
-- FI Index: 1111, SDC: 0.0, Benign: 1.0, Crash: 0.0, Total FI: 10
-- FI Index: 600, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 13
-- FI Index: 1124, SDC: 0.5909090909090909, Benign: 0.4090909090909091, Crash: 0.0, Total FI: 44
-- FI Index: 90, SDC: 0.45454545454545453, Benign: 0.5454545454545454, Crash: 0.0, Total FI: 11
-- FI Index: 91, SDC: 0.17647058823529413, Benign: 0.8235294117647058, Crash: 0.0, Total FI: 17
-- FI Index: 1117, SDC: 0.2857142857142857, Benign: 0.14285714285714285, Crash: 0.5714285714285714, Total FI: 7
-- FI Index: 606, SDC: 0.6119402985074627, Benign: 0.3880597014925373, Crash: 0.0, Total FI: 67
-- FI Index: 607, SDC: 0.0, Benign: 0.02564102564102564, Crash: 0.9743589743589743, Total FI: 78
-- FI Index: 96, SDC: 0.17647058823529413, Benign: 0.8235294117647058, Crash: 0.0, Total FI: 68
-- FI Index: 97, SDC: 1.0, Benign: 0.0, Crash: 0.0, Total FI: 57
